CID,source_station,destination,ticket_number,train_no,seat_no,coach_no,journey_date,status,fare
10000,Ahmedabad,Delhi,7691798179,12957,1,A1,2017-03-21,CNF,3000
10001,Ahmedabad,Delhi,9539699038,12957,2,A1,2017-03-21,CNF,3000
10002,Ahmedabad,Jaipur,2688568780,12957,3,A1,2017-03-21,CNF,2400
10003,Jaipur,Delhi,656696759,12957,3,A1,2017-03-21,CNF,800
10004,Ahmedabad,Delhi,9413025033,12957,5,A1,2017-03-21,CNF,3000
10005,Ahmedabad,Delhi,7301880507,12957,6,A1,2017-03-21,CNF,3000
10006,Ahmedabad,Ajmer,5475820881,12957,4,A1,2017-03-21,CNF,1600
10007,Ahmedabad,Delhi,8721531339,12957,null,A1,2017-03-21,WL,3000
10008,Ahmedabad,Jaipur,821537535,12957,null,A1,2017-03-21,WL,3000
10009,Ahmedabad,Delhi,4291991853,12957,1,A2,2017-03-21,CNF,3000
10010,Ahmedabad,Jaipur,5365772897,12957,2,A2,2017-03-21,CNF,2400
10011,Jaipur,Delhi,6549260457,12957,2,A2,2017-03-21,CNF,800
10012,Ahmedabad,Ajmer,9539312995,12957,3,A2,2017-03-21,CNF,1600
10013,Ajmer,Jaipur,7703366085,12957,3,A2,2017-03-21,CNF,600
10014,Jaipur,Delhi,9817427308,12957,3,A2,2017-03-21,CNF,800
10015,Ahmedabad,Delhi,460738982,12957,4,A2,2017-03-21,CNF,3000
10016,Ahmedabad,Ajmer,1805959876,12957,5,A2,2017-03-21,CNF,1600
10017,Ajmer,Delhi,7781136283,12957,5,A2,2017-03-21,CNF,1600
10018,Ahmedabad,Delhi,8032973716,12957,6,A2,2017-03-21,CNF,3000
10019,Ahmedabad,Jaipur,6276665445,12957,7,A2,2017-03-21,CNF,2400
10020,Jaipur,Delhi,9861464319,12957,7,A2,2017-03-21,CNF,800
10021,Ahmedabad,Delhi,4213625125,12957,8,A2,2017-03-21,CNF,3000
10022,Ahmedabad,Delhi,6013853208,12957,1,A3,2017-03-21,CNF,2500
10023,Ahmedabad,Delhi,4076521844,12957,2,A3,2017-03-21,CNF,2500
10024,Ahmedabad,Delhi,1159071969,12957,3,A3,2017-03-21,CNF,2500
10025,Ahmedabad,Delhi,6793127510,12957,4,A3,2017-03-21,CNF,2500
10026,Ahmedabad,Delhi,2013164033,12957,5,A3,2017-03-21,CNF,2500
10027,Ahmedabad,Delhi,9855131815,12957,6,A3,2017-03-21,CNF,2500
10028,Ahmedabad,Delhi,3296744212,12957,7,A3,2017-03-21,CNF,2500
10029,Ahmedabad,Ajmer,2698086770,12957,8,A3,2017-03-21,CNF,1300
10030,Ajmer,Jaipur,1370346138,12957,8,A3,2017-03-21,CNF,500
10031,Jaipur,Delhi,6027895306,12957,8,A3,2017-03-21,CNF,700
10032,Ahmedabad,Delhi,5552277880,12957,null,A3,2017-03-21,WL,2500
10033,Jaipur,Delhi,4854073133,12957,null,A3,2017-03-21,WL,700
10034,Ahmedabad,Ajmer,3764289437,12957,null,A3,2017-03-21,WL,1300
10035,Ahmedabad,Delhi,404753769,12957,1,A4,2017-03-21,CNF,2500
